user_id,registration_date,observation_start_date,observation_end_date,last_live_bet_date,first_live_bet_date,tenure_days,live_bets_count,avg_bet_amount,total_turnover,total_payout,ggr,ggr_margin,deposit_count,total_deposit_amount,deposit_to_turnover_ratio,days_active_in_observation,bet_day_rate,days_since_last_bet,live_bets_count_outcome_window,churn
USER_10000,2025-06-23,2025-10-03,2025-12-31,2025-12-26,2025-10-05,191,46,2.03,93.38,27.74,65.64,0.7029,,,,16,0.1778,5,2,0
USER_10001,2024-08-28,2025-10-03,2025-12-31,2025-12-21,2025-10-15,490,43,5.22,224.46,252.36,-27.9,-0.1243,2.0,284.56,1.2678,14,0.1556,10,0,1
USER_10002,2024-08-05,2025-10-03,2025-12-31,2025-12-28,2025-10-06,513,40,7.07,282.8,48.9,233.9,0.8271,8.0,237.72,0.8406,13,0.1444,3,0,1
USER_10003,2024-09-17,2025-10-03,2025-12-31,2025-12-31,2025-10-12,470,86,,890.1,210.71,679.39,0.7633,3.0,497.87,0.5593,23,0.2556,0,13,0
USER_10004,2024-09-09,2025-10-03,2025-12-31,2025-12-30,2025-10-08,478,82,3.05,250.1,211.39,38.71,0.1548,2.0,200.82,0.803,24,0.2667,1,4,0
USER_10005,2025-04-01,2025-10-03,2025-12-31,2025-12-29,2025-10-03,274,128,6.07,776.96,299.28,477.68,0.6148,,,,32,0.3556,2,16,0
USER_10006,2024-09-19,2025-10-03,2025-12-31,2025-12-26,2025-10-04,468,142,,1211.26,687.58,523.68,0.4323,5.0,836.95,0.691,31,0.3444,5,20,0
USER_10007,2024-06-13,2025-10-03,2025-12-31,2025-12-31,2025-10-06,566,57,5.13,292.41,133.71,158.7,0.5427,0.0,0.0,0.0,18,0.2,0,2,0
USER_10008,2021-05-04,2025-10-03,2025-12-31,2025-12-29,2025-10-11,1702,67,6.69,448.23,221.09,227.14,0.5067,,,,23,0.2556,2,2,0
USER_10009,2025-01-24,2025-10-03,2025-12-31,2025-12-30,2025-10-04,341,21,5.13,107.73,83.16,24.57,0.2281,2.0,187.14,1.7371,8,0.0889,1,6,0
USER_10010,2025-07-19,2025-10-03,2025-12-31,2025-12-31,2025-10-05,165,88,6.98,614.24,445.95,168.29,0.274,3.0,537.42,0.8749,30,0.3333,0,1,0
